Time,U_A1,U_B1,I_A,U_2,f,
0,0.21,-0.005,-0.005,2.1,NAN,
0.1,0.015,0.025,0.025,0.15,NAN,
0.2,0.165,0.01,0.01,1.65,NAN,
0.3,0.18,0.02,0.02,1.8,NAN,
0.4,0.225,0.015,0.015,2.25,NAN,
0.5,0.27,0.03,0.03,2.7,NAN,
0.6,0.3,0.03,0.03,3,NAN,
0.7,0.315,0.04,0.04,3.15,NAN,
0.8,0.345,0.03,0.03,3.45,NAN,
0.9,0.36,0.045,0.045,3.6,NAN,
1,0.39,0.05,0.05,3.9,NAN,
1.1,0.42,0.08,0.08,4.2,NAN,
1.2,0.435,0.12,0.12,4.35,NAN,
1.3,0.465,0.135,0.135,4.65,NAN,
1.4,0.495,0.225,0.225,4.95,NAN,
1.5,0.51,0.25,0.25,5.1,NAN,
1.6,0.525,0.38,0.38,5.25,NAN,
1.7,0.54,0.26,0.26,5.4,NAN,
1.8,0.555,0.255,0.255,5.55,NAN,
1.9,0.57,0.21,0.21,5.7,NAN,
2,0.6,0.175,0.175,6,NAN,
2.1,0.63,0.135,0.135,6.3,NAN,
2.2,0.66,0.115,0.115,6.6,NAN,
2.3,0.69,0.08,0.08,6.9,NAN,
2.4,0.705,0.075,0.075,7.05,NAN,
2.5,0.735,0.07,0.07,7.35,NAN,
2.6,0.75,0.07,0.07,7.5,NAN,
2.7,0.78,0.075,0.075,7.8,NAN,
2.8,0.81,0.22,0.22,8.1,NAN,
2.9,0.825,0.115,0.115,8.25,NAN,
3,0.855,0.18,0.18,8.55,NAN,
3.1,0.87,0.255,0.255,8.7,NAN,
3.2,0.9,0.365,0.365,9,NAN,
3.3,0.915,0.455,0.455,9.15,NAN,
3.4,0.945,0.565,0.565,9.45,NAN,
3.5,0.975,0.705,0.705,9.75,NAN,
3.6,0.99,0.76,0.76,9.9,NAN,
3.7,1.02,0.685,0.685,10.2,NAN,
3.8,1.05,0.53,0.53,10.5,NAN,
3.9,1.08,0.46,0.46,10.8,NAN,
4,1.11,0.29,0.29,11.1,NAN,
4.1,1.14,0.195,0.195,11.4,NAN,
4.2,1.155,0.12,0.12,11.55,NAN,
4.3,1.185,0.11,0.11,11.85,NAN,
4.4,1.215,0.115,0.115,12.15,NAN,
4.5,1.23,0.135,0.135,12.3,NAN,
4.6,1.26,0.12,0.12,12.6,NAN,
4.7,1.275,0.185,0.185,12.75,NAN,
4.8,1.305,0.275,0.275,13.05,NAN,
4.9,1.335,0.4,0.4,13.35,NAN,
5,1.35,0.545,0.545,13.5,NAN,
5.1,1.38,0.83,0.83,13.8,NAN,
5.2,1.41,0.925,0.925,14.1,NAN,
5.3,1.44,1.11,1.11,14.4,NAN,
5.4,1.455,1.285,1.285,14.55,NAN,
5.5,1.485,1.31,1.31,14.85,NAN,
5.6,1.515,1.145,1.145,15.15,NAN,
5.7,1.545,0.8,0.8,15.45,NAN,
5.8,1.575,0.535,0.535,15.75,NAN,
5.9,1.59,0.37,0.37,15.9,NAN,
6,1.62,0.26,0.26,16.2,NAN,
6.1,1.65,0.2,0.2,16.5,NAN,
6.2,1.665,0.255,0.255,16.65,NAN,
6.3,1.695,0.275,0.275,16.95,NAN,
6.4,1.725,0.24,0.24,17.25,NAN,
6.5,1.755,0.305,0.305,17.55,NAN,
6.6,1.785,0.4,0.4,17.85,NAN,
6.7,1.8,0.54,0.54,18,NAN,
6.8,1.83,0.705,0.705,18.3,NAN,
6.9,1.86,0.9,0.9,18.6,NAN,
7,1.875,1.15,1.15,18.75,NAN,
7.1,1.89,1.425,1.425,18.9,NAN,
7.2,1.92,1.745,1.745,19.2,NAN,
7.3,1.95,1.915,1.915,19.5,NAN,
7.4,1.98,2.05,2.05,19.8,NAN,
7.5,1.995,1.67,1.67,19.95,NAN,
7.6,2.025,1.345,1.345,20.25,NAN,
7.7,2.055,1.04,1.04,20.55,NAN,
