Time,U_A1,U_B1,I_A,U_2,f,
12.9,3.195,1.035,1.035,31.95,NAN,
13,3.195,1.03,1.03,31.95,NAN,
13.1,3.195,1.035,1.035,31.95,NAN,
13.2,3.195,0.995,0.995,31.95,NAN,
13.3,3.195,0.985,0.985,31.95,NAN,
13.4,3.195,1.035,1.035,31.95,NAN,
13.5,3.195,1.015,1.015,31.95,NAN,
13.6,3.195,1.02,1.02,31.95,NAN,
13.7,3.195,0.94,0.94,31.95,NAN,
13.8,3.195,1.02,1.02,31.95,NAN,
13.9,3.195,1.02,1.02,31.95,NAN,
14,3.195,1.015,1.015,31.95,NAN,
14.1,3.195,1.015,1.015,31.95,NAN,
14.2,3.195,1.015,1.015,31.95,NAN,
14.3,3.195,1.01,1.01,31.95,NAN,
14.4,3.195,1,1,31.95,NAN,
14.5,3.195,1.035,1.035,31.95,NAN,
14.6,3.195,1.005,1.005,31.95,NAN,
14.7,3.195,1.035,1.035,31.95,NAN,
14.8,3.195,1.005,1.005,31.95,NAN,
14.9,3.195,1.005,1.005,31.95,NAN,
15,3.195,1.005,1.005,31.95,NAN,
