Time,U_A1,U_B1,I_A,U_2,f,
0,0.15,0.305,0.305,1.5,NAN,
0.1,0,-0.055,-0.055,0,NAN,
0.201,0,-0.045,-0.045,0,NAN,
0.301,0,-0.055,-0.055,0,NAN,
0.401,0,-0.05,-0.05,0,NAN,
0.501,0,-0.035,-0.035,0,NAN,
0.601,0.03,-0.035,-0.035,0.3,NAN,
0.701,0.105,-0.02,-0.02,1.05,NAN,
0.801,0.12,-0.01,-0.01,1.2,NAN,
0.901,0.12,-0.04,-0.04,1.2,NAN,
1.001,0.18,-0.04,-0.04,1.8,NAN,
1.101,0.18,-0.045,-0.045,1.8,NAN,
1.201,0.195,-0.045,-0.045,1.95,NAN,
1.301,0.225,-0.04,-0.04,2.25,NAN,
1.401,0.255,-0.04,-0.04,2.55,NAN,
1.501,0.27,-0.04,-0.04,2.7,NAN,
1.601,0.3,-0.04,-0.04,3,NAN,
1.701,0.33,-0.025,-0.025,3.3,NAN,
1.801,0.345,-0.025,-0.025,3.45,NAN,
1.901,0.375,0.06,0.06,3.75,NAN,
2.001,0.39,0.11,0.11,3.9,NAN,
2.101,0.42,0.035,0.035,4.2,NAN,
2.201,0.45,0.105,0.105,4.5,NAN,
2.301,0.48,0.21,0.21,4.8,NAN,
2.401,0.51,0.39,0.39,5.1,NAN,
2.501,0.645,0.06,0.06,6.45,NAN,
2.601,0.57,0.19,0.19,5.7,NAN,
2.701,0.585,0.09,0.09,5.85,NAN,
2.801,0.615,0.01,0.01,6.15,NAN,
2.901,0.645,-0.015,-0.015,6.45,NAN,
3.001,0.675,0.04,0.04,6.75,NAN,
3.101,0.69,0.015,0.015,6.9,NAN,
3.201,0.705,-0.035,-0.035,7.05,NAN,
3.301,0.735,-0.025,-0.025,7.35,NAN,
3.401,0.765,-0.025,-0.025,7.65,NAN,
3.501,0.795,-0.015,-0.015,7.95,NAN,
3.601,0.81,0.015,0.015,8.1,NAN,
3.701,0.84,0.055,0.055,8.4,NAN,
3.801,0.87,0.11,0.11,8.7,NAN,
3.901,0.9,0.28,0.28,9,NAN,
4.001,0.93,0.415,0.415,9.3,NAN,
4.101,0.945,0.6,0.6,9.45,NAN,
4.201,0.975,1.025,1.025,9.75,NAN,
4.301,1.005,1.15,1.15,10.05,NAN,
4.401,1.035,0.95,0.95,10.35,NAN,
4.501,1.05,0.755,0.755,10.5,NAN,
4.601,1.065,0.485,0.485,10.65,NAN,
4.701,1.095,0.27,0.27,10.95,NAN,
4.801,1.125,0.1,0.1,11.25,NAN,
4.901,1.155,-0.005,-0.005,11.55,NAN,
5.001,1.185,-0.005,-0.005,11.85,NAN,
5.101,1.215,-0.01,-0.01,12.15,NAN,
5.201,1.245,-0.015,-0.015,12.45,NAN,
5.301,1.305,0.19,0.19,13.05,NAN,
5.401,1.29,0.13,0.13,12.9,NAN,
5.501,1.32,0.045,0.045,13.2,NAN,
5.601,1.335,0.18,0.18,13.35,NAN,
5.701,1.365,0.32,0.32,13.65,NAN,
5.801,1.38,0.55,0.55,13.8,NAN,
5.901,1.41,0.795,0.795,14.1,NAN,
6.001,1.44,1.06,1.06,14.4,NAN,
6.101,1.455,1.305,1.305,14.55,NAN,
6.201,1.485,1.48,1.48,14.85,NAN,
6.301,1.515,1.515,1.515,15.15,NAN,
6.401,1.545,1.335,1.335,15.45,NAN,
6.501,1.575,1.345,1.345,15.75,NAN,
6.601,1.59,1.07,1.07,15.9,NAN,
6.701,1.62,0.525,0.525,16.2,NAN,
6.801,1.65,0.305,0.305,16.5,NAN,
6.901,1.68,0.15,0.15,16.8,NAN,
7.001,1.71,0.09,0.09,17.1,NAN,
7.101,1.71,0.07,0.07,17.1,NAN,
7.201,1.74,0.105,0.105,17.4,NAN,
7.301,1.77,0.095,0.095,17.7,NAN,
7.401,1.8,0.14,0.14,18,NAN,
7.501,1.83,0.325,0.325,18.3,NAN,
7.601,1.845,0.47,0.47,18.45,NAN,
7.701,1.875,0.94,0.94,18.75,NAN,
7.801,1.905,1.205,1.205,19.05,NAN,
7.901,1.935,1.285,1.285,19.35,NAN,
8.001,1.95,1.555,1.555,19.5,NAN,
8.101,1.98,1.84,1.84,19.8,NAN,
8.201,2.01,1.95,1.95,20.1,NAN,
8.301,2.04,1.94,1.94,20.4,NAN,
8.401,2.055,1.775,1.775,20.55,NAN,
8.501,2.07,1.61,1.61,20.7,NAN,
8.601,2.1,1.26,1.26,21,NAN,
8.701,2.13,0.995,0.995,21.3,NAN,
8.801,2.16,0.795,0.795,21.6,NAN,
8.901,2.19,0.86,0.86,21.9,NAN,
9.001,2.205,0.535,0.535,22.05,NAN,
9.101,2.235,0.49,0.49,22.35,NAN,
9.201,2.265,0.47,0.47,22.65,NAN,
9.301,2.295,0.465,0.465,22.95,NAN,
9.401,2.325,0.535,0.535,23.25,NAN,
9.501,2.34,0.765,0.765,23.4,NAN,
9.601,2.37,0.975,0.975,23.7,NAN,
9.701,2.385,1.125,1.125,23.85,NAN,
9.801,2.415,1.415,1.415,24.15,NAN,
9.901,2.445,1.765,1.765,24.45,NAN,
10.001,2.46,2.335,2.335,24.6,NAN,
10.101,2.49,2.5,2.5,24.9,NAN,
10.201,2.52,2.445,2.445,25.2,NAN,
10.301,2.55,2.42,2.42,25.5,NAN,
10.401,2.565,2.285,2.285,25.65,NAN,
10.501,2.595,2.15,2.15,25.95,NAN,
10.601,2.625,1.93,1.93,26.25,NAN,
10.701,2.655,1.785,1.785,26.55,NAN,
10.801,2.685,1.625,1.625,26.85,NAN,
10.901,2.7,1.625,1.625,27,NAN,
11.001,2.715,1.37,1.37,27.15,NAN,
11.101,2.745,1.27,1.27,27.45,NAN,
11.201,2.775,1.42,1.42,27.75,NAN,
11.301,2.805,1.195,1.195,28.05,NAN,
11.401,2.82,1.285,1.285,28.2,NAN,
11.501,2.85,1.44,1.44,28.5,NAN,
11.601,2.88,1.635,1.635,28.8,NAN,
11.701,2.91,1.86,1.86,29.1,NAN,
11.801,2.94,2.15,2.15,29.4,NAN,
11.901,2.955,2.44,2.44,29.55,NAN,
12.001,2.985,2.685,2.685,29.85,NAN,
12.101,3.015,2.91,2.91,30.15,NAN,
12.201,3.03,3.06,3.06,30.3,NAN,
12.301,3.06,3.11,3.11,30.6,NAN,
12.401,3.075,3.34,3.34,30.75,NAN,
12.501,3.105,3.06,3.06,31.05,NAN,
12.601,3.135,2.96,2.96,31.35,NAN,
12.701,3.165,2.88,2.88,31.65,NAN,
12.801,3.195,2.81,2.81,31.95,NAN,
