Time,U_A1,U_B1,I_A,U_2,f,
12.901,3.195,2.805,2.805,31.95,NAN,
13.001,3.195,2.805,2.805,31.95,NAN,
13.101,3.195,2.805,2.805,31.95,NAN,
13.201,3.195,2.8,2.8,31.95,NAN,
13.301,3.195,2.8,2.8,31.95,NAN,
13.401,3.195,2.805,2.805,31.95,NAN,
13.501,3.195,3.045,3.045,31.95,NAN,
13.601,3.195,3.03,3.03,31.95,NAN,
13.701,3.195,2.795,2.795,31.95,NAN,
13.801,3.195,2.8,2.8,31.95,NAN,
13.901,3.195,2.815,2.815,31.95,NAN,
14.001,3.195,2.83,2.83,31.95,NAN,
14.101,3.195,2.82,2.82,31.95,NAN,
14.201,3.195,2.77,2.77,31.95,NAN,
14.301,3.195,2.805,2.805,31.95,NAN,
14.401,3.195,2.76,2.76,31.95,NAN,
14.501,3.195,2.8,2.8,31.95,NAN,
14.601,3.195,2.795,2.795,31.95,NAN,
14.701,3.195,3.025,3.025,31.95,NAN,
14.801,3.195,2.76,2.76,31.95,NAN,
14.901,3.195,2.89,2.89,31.95,NAN,
