Time,U_A1,U_B1,I_A,U_2,f,
0,0.105,0.025,0.025,1.05,NAN,
0.101,0,-0.015,-0.015,0,NAN,
0.201,0,0.005,0.005,0,NAN,
0.301,0,-0.025,-0.025,0,NAN,
0.401,0,0.01,0.01,0,NAN,
0.501,0.09,0.085,0.085,0.9,NAN,
0.601,0.12,0,0,1.2,NAN,
0.701,0.105,0.195,0.195,1.05,NAN,
0.801,0.21,0.03,0.03,2.1,NAN,
0.901,0.15,0.025,0.025,1.5,NAN,
1.001,0.165,0.015,0.015,1.65,NAN,
1.101,0.195,0.02,0.02,1.95,NAN,
1.201,0.225,0.03,0.03,2.25,NAN,
1.301,0.255,0.025,0.025,2.55,NAN,
1.401,0.27,0.025,0.025,2.7,NAN,
1.501,0.3,0.05,0.05,3,NAN,
1.601,0.33,0.04,0.04,3.3,NAN,
1.701,0.345,0.045,0.045,3.45,NAN,
1.801,0.375,0.045,0.045,3.75,NAN,
1.901,0.405,0.05,0.05,4.05,NAN,
2.001,0.42,0.07,0.07,4.2,NAN,
2.101,0.45,0.085,0.085,4.5,NAN,
2.201,0.48,0.09,0.09,4.8,NAN,
2.301,0.51,0.125,0.125,5.1,NAN,
2.401,0.54,0.17,0.17,5.4,NAN,
2.501,0.555,0.185,0.185,5.55,NAN,
2.601,0.585,0.165,0.165,5.85,NAN,
2.701,0.615,0.16,0.16,6.15,NAN,
2.801,0.645,0.14,0.14,6.45,NAN,
2.901,0.675,0.15,0.15,6.75,NAN,
3.001,0.69,0.125,0.125,6.9,NAN,
3.101,0.705,0.105,0.105,7.05,NAN,
3.201,0.735,0.06,0.06,7.35,NAN,
3.301,0.765,0.1,0.1,7.65,NAN,
3.401,0.795,0.105,0.105,7.95,NAN,
3.501,0.81,0.115,0.115,8.1,NAN,
3.601,0.84,0.15,0.15,8.4,NAN,
3.701,0.87,0.165,0.165,8.7,NAN,
3.801,0.9,0.21,0.21,9,NAN,
3.901,0.93,0.27,0.27,9.3,NAN,
4.001,0.945,0.34,0.34,9.45,NAN,
4.101,0.975,0.44,0.44,9.75,NAN,
4.201,1.005,0.48,0.48,10.05,NAN,
4.301,1.035,0.485,0.485,10.35,NAN,
4.401,1.05,0.46,0.46,10.5,NAN,
4.501,1.08,0.38,0.38,10.8,NAN,
4.601,1.095,0.325,0.325,10.95,NAN,
4.701,1.125,0.26,0.26,11.25,NAN,
4.801,1.155,0.24,0.24,11.55,NAN,
4.901,1.185,0.18,0.18,11.85,NAN,
5.001,1.215,0.18,0.18,12.15,NAN,
5.101,1.23,0.15,0.15,12.3,NAN,
5.201,1.26,0.165,0.165,12.6,NAN,
5.301,1.29,0.2,0.2,12.9,NAN,
5.401,1.32,0.25,0.25,13.2,NAN,
5.501,1.35,0.32,0.32,13.5,NAN,
5.601,1.365,0.4,0.4,13.65,NAN,
5.701,1.38,0.525,0.525,13.8,NAN,
5.801,1.41,0.62,0.62,14.1,NAN,
5.901,1.44,0.775,0.775,14.4,NAN,
6.001,1.47,0.86,0.86,14.7,NAN,
6.101,1.485,0.945,0.945,14.85,NAN,
6.201,1.515,0.86,0.86,15.15,NAN,
6.301,1.545,0.75,0.75,15.45,NAN,
6.401,1.575,0.565,0.565,15.75,NAN,
6.501,1.605,0.42,0.42,16.05,NAN,
6.601,1.62,0.33,0.33,16.2,NAN,
6.701,1.65,0.26,0.26,16.5,NAN,
6.801,1.68,0.23,0.23,16.8,NAN,
6.901,1.71,0.22,0.22,17.1,NAN,
7.001,1.74,0.12,0.12,17.4,NAN,
7.101,1.74,0.255,0.255,17.4,NAN,
7.201,1.77,0.335,0.335,17.7,NAN,
7.301,1.8,0.435,0.435,18,NAN,
7.401,1.83,0.585,0.585,18.3,NAN,
7.501,1.86,0.7,0.7,18.6,NAN,
7.601,1.875,0.88,0.88,18.75,NAN,
7.701,1.905,1.08,1.08,19.05,NAN,
7.801,1.935,1.27,1.27,19.35,NAN,
7.901,1.965,1.445,1.445,19.65,NAN,
8.001,1.98,1.38,1.38,19.8,NAN,
8.101,2.01,1.24,1.24,20.1,NAN,
8.201,2.04,0.98,0.98,20.4,NAN,
8.301,2.055,0.765,0.765,20.55,NAN,
8.401,2.085,0.52,0.52,20.85,NAN,
8.501,2.115,0.41,0.41,21.15,NAN,
8.601,2.13,0.295,0.295,21.3,NAN,
8.701,2.16,0.31,0.31,21.6,NAN,
8.801,2.19,0.29,0.29,21.9,NAN,
8.901,2.22,0.325,0.325,22.2,NAN,
9.001,2.235,0.37,0.37,22.35,NAN,
9.101,2.265,0.515,0.515,22.65,NAN,
9.201,2.295,0.665,0.665,22.95,NAN,
9.301,2.325,0.87,0.87,23.25,NAN,
9.401,2.355,1.045,1.045,23.55,NAN,
9.501,2.37,1.345,1.345,23.7,NAN,
9.601,2.4,1.445,1.445,24,NAN,
9.701,2.415,1.85,1.85,24.15,NAN,
9.801,2.445,2,2,24.45,NAN,
9.901,2.475,1.945,1.945,24.75,NAN,
10.001,2.49,1.695,1.695,24.9,NAN,
10.101,2.52,1.35,1.35,25.2,NAN,
10.201,2.55,0.975,0.975,25.5,NAN,
10.301,2.58,0.76,0.76,25.8,NAN,
10.401,2.61,0.57,0.57,26.1,NAN,
10.501,2.625,0.425,0.425,26.25,NAN,
10.601,2.655,0.37,0.37,26.55,NAN,
10.701,2.685,0.375,0.375,26.85,NAN,
10.801,2.715,0.405,0.405,27.15,NAN,
10.901,2.73,0.535,0.535,27.3,NAN,
11.001,2.745,0.635,0.635,27.45,NAN,
11.101,2.775,0.87,0.87,27.75,NAN,
11.201,2.805,1.11,1.11,28.05,NAN,
11.301,2.835,1.385,1.385,28.35,NAN,
11.401,2.865,1.735,1.735,28.65,NAN,
11.501,2.88,2.08,2.08,28.8,NAN,
11.601,2.91,2.385,2.385,29.1,NAN,
11.701,2.94,2.54,2.54,29.4,NAN,
11.801,2.97,2.53,2.53,29.7,NAN,
11.901,2.985,2.2,2.2,29.85,NAN,
12.001,3.015,1.81,1.81,30.15,NAN,
12.101,3.045,1.395,1.395,30.45,NAN,
12.201,3.06,1.015,1.015,30.6,NAN,
12.301,3.09,0.74,0.74,30.9,NAN,
12.401,3.105,0.57,0.57,31.05,NAN,
12.501,3.135,0.475,0.475,31.35,NAN,
12.601,3.165,0.46,0.46,31.65,NAN,
12.701,3.195,0.475,0.475,31.95,NAN,
12.801,3.195,0.455,0.455,31.95,NAN,
12.901,3.195,0.465,0.465,31.95,NAN,
13.001,3.195,0.495,0.495,31.95,NAN,
13.101,3.195,0.45,0.45,31.95,NAN,
13.201,3.195,0.455,0.455,31.95,NAN,
13.301,3.195,0.425,0.425,31.95,NAN,
13.401,3.195,0.42,0.42,31.95,NAN,
13.501,3.195,0.445,0.445,31.95,NAN,
13.601,3.195,0.43,0.43,31.95,NAN,
13.701,3.195,0.44,0.44,31.95,NAN,
13.801,3.195,0.42,0.42,31.95,NAN,
13.901,3.195,0.41,0.41,31.95,NAN,
14.001,3.195,0.435,0.435,31.95,NAN,
14.101,3.195,0.415,0.415,31.95,NAN,
14.201,3.195,0.415,0.415,31.95,NAN,
14.301,3.195,0.415,0.415,31.95,NAN,
14.401,3.195,0.43,0.43,31.95,NAN,
14.501,3.195,0.415,0.415,31.95,NAN,
14.601,3.195,0.425,0.425,31.95,NAN,
14.701,3.195,0.405,0.405,31.95,NAN,
14.801,3.195,0.405,0.405,31.95,NAN,
14.901,3.195,0.42,0.42,31.95,NAN,
