Time,U_A1,U_B1,I_A,U_2,f,
0,0.24,-0.04,-0.04,2.4,NAN,
0.1,0,-0.01,-0.01,0,NAN,
0.2,0.045,0.055,0.055,0.45,NAN,
0.3,0.18,0.06,0.06,1.8,NAN,
0.4,0.225,-0.015,-0.015,2.25,NAN,
0.5,0.24,0.01,0.01,2.4,NAN,
0.6,0.15,-0.005,-0.005,1.5,NAN,
0.7,0.165,-0.02,-0.02,1.65,NAN,
0.8,0.285,-0.02,-0.02,2.85,NAN,
0.9,0.315,-0.015,-0.015,3.15,NAN,
1,0.27,-0.005,-0.005,2.7,NAN,
1.1,0.33,0.03,0.03,3.3,NAN,
1.2,0.375,0,0,3.75,NAN,
1.3,0.42,0.01,0.01,4.2,NAN,
1.4,0.435,0.02,0.02,4.35,NAN,
1.5,0.465,0.035,0.035,4.65,NAN,
1.6,0.465,0.03,0.03,4.65,NAN,
1.7,0.495,0.045,0.045,4.95,NAN,
1.8,0.525,0.045,0.045,5.25,NAN,
1.9,0.555,0.06,0.06,5.55,NAN,
2,0.57,0.035,0.035,5.7,NAN,
2.1,0.6,0.035,0.035,6,NAN,
2.2,0.63,0.035,0.035,6.3,NAN,
2.3,0.66,0.025,0.025,6.6,NAN,
2.4,0.675,0.02,0.02,6.75,NAN,
2.5,0.705,0.01,0.01,7.05,NAN,
2.6,0.705,0.01,0.01,7.05,NAN,
2.7,0.69,0.015,0.015,6.9,NAN,
2.8,0.72,0.025,0.025,7.2,NAN,
2.9,0.735,0.02,0.02,7.35,NAN,
3,0.75,0.025,0.025,7.5,NAN,
3.1,0.78,0.03,0.03,7.8,NAN,
3.2,0.81,0.035,0.035,8.1,NAN,
3.3,0.84,0.045,0.045,8.4,NAN,
3.4,0.87,0.065,0.065,8.7,NAN,
3.5,0.885,0.065,0.065,8.85,NAN,
3.6,0.915,0.08,0.08,9.15,NAN,
3.7,0.945,0.115,0.115,9.45,NAN,
3.8,0.975,0.145,0.145,9.75,NAN,
3.9,1.005,0.16,0.16,10.05,NAN,
4,1.02,0.16,0.16,10.2,NAN,
4.1,1.05,0.125,0.125,10.5,NAN,
4.2,1.08,0.1,0.1,10.8,NAN,
4.3,1.095,0.075,0.075,10.95,NAN,
4.4,1.125,0.065,0.065,11.25,NAN,
4.5,1.155,0.05,0.05,11.55,NAN,
4.6,1.17,0.045,0.045,11.7,NAN,
4.7,1.2,0.045,0.045,12,NAN,
4.8,1.23,0.05,0.05,12.3,NAN,
4.9,1.26,0.05,0.05,12.6,NAN,
5,1.29,0.06,0.06,12.9,NAN,
5.1,1.305,0.07,0.07,13.05,NAN,
5.2,1.335,0.095,0.095,13.35,NAN,
5.3,1.365,0.125,0.125,13.65,NAN,
5.4,1.395,0.12,0.12,13.95,NAN,
5.5,1.425,0.19,0.19,14.25,NAN,
5.6,1.44,0.245,0.245,14.4,NAN,
5.7,1.455,0.285,0.285,14.55,NAN,
5.8,1.485,0.3,0.3,14.85,NAN,
5.9,1.515,0.275,0.275,15.15,NAN,
6,1.545,0.235,0.235,15.45,NAN,
6.1,1.56,0.19,0.19,15.6,NAN,
6.2,1.59,0.15,0.15,15.9,NAN,
6.3,1.62,0.115,0.115,16.2,NAN,
6.4,1.65,0.085,0.085,16.5,NAN,
6.5,1.68,0.095,0.095,16.8,NAN,
6.6,1.695,0.08,0.08,16.95,NAN,
6.7,1.725,0.07,0.07,17.25,NAN,
6.8,1.755,0.085,0.085,17.55,NAN,
6.9,1.785,0.1,0.1,17.85,NAN,
7,1.8,0.125,0.125,18,NAN,
7.1,1.815,0.165,0.165,18.15,NAN,
7.2,1.845,0.18,0.18,18.45,NAN,
7.3,1.875,0.235,0.235,18.75,NAN,
7.4,1.905,0.3,0.3,19.05,NAN,
7.5,1.935,0.34,0.34,19.35,NAN,
7.6,1.95,0.385,0.385,19.5,NAN,
7.7,1.98,0.4,0.4,19.8,NAN,
7.8,2.01,0.41,0.41,20.1,NAN,
7.9,2.04,0.375,0.375,20.4,NAN,
8,2.055,0.29,0.29,20.55,NAN,
8.1,2.085,0.24,0.24,20.85,NAN,
8.2,2.115,0.19,0.19,21.15,NAN,
8.3,2.13,0.15,0.15,21.3,NAN,
8.4,2.16,0.155,0.155,21.6,NAN,
8.5,2.19,0.12,0.12,21.9,NAN,
8.6,2.205,0.115,0.115,22.05,NAN,
8.7,2.235,0.115,0.115,22.35,NAN,
8.8,2.265,0.125,0.125,22.65,NAN,
8.9,2.295,0.155,0.155,22.95,NAN,
9,2.31,0.2,0.2,23.1,NAN,
9.1,2.34,0.25,0.25,23.4,NAN,
9.2,2.37,0.285,0.285,23.7,NAN,
9.3,2.4,0.34,0.34,24,NAN,
9.4,2.43,0.4,0.4,24.3,NAN,
9.5,2.445,0.485,0.485,24.45,NAN,
9.6,2.46,0.525,0.525,24.6,NAN,
9.7,2.49,0.56,0.56,24.9,NAN,
9.8,2.52,0.495,0.495,25.2,NAN,
9.9,2.55,0.45,0.45,25.5,NAN,
10,2.565,0.395,0.395,25.65,NAN,
10.1,2.595,0.275,0.275,25.95,NAN,
10.2,2.625,0.825,0.825,26.25,NAN,
10.3,2.655,0.225,0.225,26.55,NAN,
10.4,2.685,0.195,0.195,26.85,NAN,
10.5,2.7,0.185,0.185,27,NAN,
10.6,2.73,0.175,0.175,27.3,NAN,
10.7,2.76,0.19,0.19,27.6,NAN,
10.8,2.79,0.215,0.215,27.9,NAN,
10.9,2.805,0.245,0.245,28.05,NAN,
11,2.82,0.31,0.31,28.2,NAN,
11.1,2.85,0.35,0.35,28.5,NAN,
11.2,2.88,0.42,0.42,28.8,NAN,
11.3,2.91,0.49,0.49,29.1,NAN,
11.4,2.925,0.555,0.555,29.25,NAN,
11.5,2.955,0.605,0.605,29.55,NAN,
11.6,2.985,0.645,0.645,29.85,NAN,
11.7,3.015,0.65,0.65,30.15,NAN,
11.8,3.045,0.62,0.62,30.45,NAN,
11.9,3.06,0.555,0.555,30.6,NAN,
12,3.09,0.5,0.5,30.9,NAN,
12.1,3.12,0.455,0.455,31.2,NAN,
12.2,3.135,0.375,0.375,31.35,NAN,
12.3,3.165,0.335,0.335,31.65,NAN,
12.4,3.18,0.31,0.31,31.8,NAN,
12.5,3.195,0.3,0.3,31.95,NAN,
12.6,3.195,0.3,0.3,31.95,NAN,
12.7,3.195,0.3,0.3,31.95,NAN,
12.8,3.195,0.285,0.285,31.95,NAN,
12.9,3.195,0.285,0.285,31.95,NAN,
13,3.195,0.265,0.265,31.95,NAN,
13.1,3.195,0.29,0.29,31.95,NAN,
13.2,3.195,0.285,0.285,31.95,NAN,
13.3,3.195,0.295,0.295,31.95,NAN,
13.4,3.195,0.305,0.305,31.95,NAN,
13.5,3.195,0.275,0.275,31.95,NAN,
13.6,3.195,0.265,0.265,31.95,NAN,
13.7,3.195,0.275,0.275,31.95,NAN,
13.8,3.195,0.27,0.27,31.95,NAN,
13.9,3.195,0.26,0.26,31.95,NAN,
14,3.195,0.275,0.275,31.95,NAN,
14.1,3.195,0.26,0.26,31.95,NAN,
14.2,3.195,0.27,0.27,31.95,NAN,
14.3,3.195,0.26,0.26,31.95,NAN,
14.4,3.195,0.26,0.26,31.95,NAN,
14.5,3.195,0.225,0.225,31.95,NAN,
14.6,3.195,0.25,0.25,31.95,NAN,
14.7,3.195,0.255,0.255,31.95,NAN,
14.8,3.195,0.25,0.25,31.95,NAN,
14.9,3.195,0.26,0.26,31.95,NAN,
15,3.195,0.25,0.25,31.95,NAN,
