Time,U_A1,U_B1,I_A,U_2,f,
0,0.105,0.03,0.03,1.05,NAN,
0.1,0.06,0.04,0.04,0.6,NAN,
0.201,0.03,0.035,0.035,0.3,NAN,
0.301,0.105,0.435,0.435,1.05,NAN,
0.401,0.135,0.035,0.035,1.35,NAN,
0.501,0.105,0.405,0.405,1.05,NAN,
0.601,0.135,0.02,0.02,1.35,NAN,
0.701,0,-0.03,-0.03,0,NAN,
0.801,0,-0.025,-0.025,0,NAN,
0.901,0,-0.035,-0.035,0,NAN,
1.001,0.015,-0.015,-0.015,0.15,NAN,
1.101,0.03,0.17,0.17,0.3,NAN,
1.201,0.15,0.01,0.01,1.5,NAN,
1.301,0.18,-0.005,-0.005,1.8,NAN,
1.401,0.27,0.17,0.17,2.7,NAN,
1.501,0.285,0.005,0.005,2.85,NAN,
1.601,0.18,0.215,0.215,1.8,NAN,
1.701,0.195,0.05,0.05,1.95,NAN,
1.801,0.21,0.13,0.13,2.1,NAN,
1.901,0.33,0,0,3.3,NAN,
2.001,0.285,0.535,0.535,2.85,NAN,
2.101,0.465,0.41,0.41,4.65,NAN,
2.201,0.45,0.44,0.44,4.5,NAN,
2.301,0.45,0.72,0.72,4.5,NAN,
2.401,0.48,0.745,0.745,4.8,NAN,
2.501,0.495,0.75,0.75,4.95,NAN,
2.601,0.435,0.52,0.52,4.35,NAN,
2.701,0.495,1,1,4.95,NAN,
2.801,0.57,0.615,0.615,5.7,NAN,
2.901,0.585,0.535,0.535,5.85,NAN,
3.001,0.6,0.515,0.515,6,NAN,
3.101,0.6,0.475,0.475,6,NAN,
3.201,0.615,0.39,0.39,6.15,NAN,
3.301,0.6,0.18,0.18,6,NAN,
3.401,0.63,0.04,0.04,6.3,NAN,
3.501,0.72,0.08,0.08,7.2,NAN,
3.601,0.69,0.185,0.185,6.9,NAN,
3.701,0.765,0.025,0.025,7.65,NAN,
3.801,0.75,0.135,0.135,7.5,NAN,
3.901,0.765,0.16,0.16,7.65,NAN,
4.001,0.795,0.255,0.255,7.95,NAN,
4.101,0.825,0.3,0.3,8.25,NAN,
4.201,0.87,0.83,0.83,8.7,NAN,
4.301,0.93,1.49,1.49,9.3,NAN,
4.401,0.975,1.86,1.86,9.75,NAN,
4.501,1.005,1.99,1.99,10.05,NAN,
4.601,1.035,1.72,1.72,10.35,NAN,
4.701,1.065,1.47,1.47,10.65,NAN,
4.801,1.08,1.21,1.21,10.8,NAN,
4.901,1.11,0.47,0.47,11.1,NAN,
5.001,1.14,0.11,0.11,11.4,NAN,
5.101,1.17,0.235,0.235,11.7,NAN,
5.201,1.185,0.15,0.15,11.85,NAN,
5.301,1.23,0.12,0.12,12.3,NAN,
5.401,1.26,0.155,0.155,12.6,NAN,
5.501,1.275,0.165,0.165,12.75,NAN,
5.601,1.29,0.33,0.33,12.9,NAN,
5.701,1.32,0.445,0.445,13.2,NAN,
5.801,1.32,0.485,0.485,13.2,NAN,
5.901,1.32,0.585,0.585,13.2,NAN,
6.001,1.32,0.465,0.465,13.2,NAN,
6.101,1.335,0.805,0.805,13.35,NAN,
6.201,1.365,1.135,1.135,13.65,NAN,
6.301,1.395,1.36,1.36,13.95,NAN,
6.401,1.41,1.905,1.905,14.1,NAN,
6.501,1.44,2.285,2.285,14.4,NAN,
6.601,1.47,2.71,2.71,14.7,NAN,
6.701,1.5,2.96,2.96,15,NAN,
6.801,1.53,2.9,2.9,15.3,NAN,
6.901,1.545,2.545,2.545,15.45,NAN,
7.001,1.575,2.11,2.11,15.75,NAN,
7.101,1.59,1.57,1.57,15.9,NAN,
7.201,1.62,0.965,0.965,16.2,NAN,
7.301,1.65,0.735,0.735,16.5,NAN,
7.401,1.665,0.535,0.535,16.65,NAN,
7.501,1.695,0.415,0.415,16.95,NAN,
7.601,1.725,0.405,0.405,17.25,NAN,
7.701,1.755,0.42,0.42,17.55,NAN,
7.801,1.785,0.54,0.54,17.85,NAN,
7.901,1.8,0.715,0.715,18,NAN,
8.001,1.83,0.995,0.995,18.3,NAN,
8.101,1.86,1.37,1.37,18.6,NAN,
8.201,1.89,1.71,1.71,18.9,NAN,
8.301,1.92,2.455,2.455,19.2,NAN,
8.401,1.92,2.78,2.78,19.2,NAN,
8.501,1.95,3.435,3.435,19.5,NAN,
8.601,1.98,3.785,3.785,19.8,NAN,
8.701,2.01,3.94,3.94,20.1,NAN,
8.801,2.04,3.75,3.75,20.4,NAN,
8.901,2.055,3.365,3.365,20.55,NAN,
9.001,2.085,2.84,2.84,20.85,NAN,
9.101,2.115,2.31,2.31,21.15,NAN,
9.201,2.145,1.85,1.85,21.45,NAN,
9.301,2.175,1.525,1.525,21.75,NAN,
9.401,2.19,1.175,1.175,21.9,NAN,
9.501,2.22,1.135,1.135,22.2,NAN,
9.601,2.25,1.255,1.255,22.5,NAN,
9.701,2.265,0.985,0.985,22.65,NAN,
9.801,2.295,1.18,1.18,22.95,NAN,
9.901,2.31,1.285,1.285,23.1,NAN,
10.001,2.34,1.715,1.715,23.4,NAN,
10.101,2.37,2.11,2.11,23.7,NAN,
10.201,2.4,2.65,2.65,24,NAN,
10.301,2.43,3.265,3.265,24.3,NAN,
10.401,2.445,3.875,3.875,24.45,NAN,
10.501,2.475,4.295,4.295,24.75,NAN,
10.601,2.505,4.67,4.67,25.05,NAN,
10.701,2.535,4.935,4.935,25.35,NAN,
10.801,2.55,4.84,4.84,25.5,NAN,
10.901,2.565,4.435,4.435,25.65,NAN,
11.001,2.595,4.13,4.13,25.95,NAN,
11.101,2.625,3.68,3.68,26.25,NAN,
11.201,2.655,3.26,3.26,26.55,NAN,
11.301,2.685,2.915,2.915,26.85,NAN,
11.401,2.715,2.68,2.68,27.15,NAN,
11.501,2.745,2.485,2.485,27.45,NAN,
11.601,2.775,2.35,2.35,27.75,NAN,
11.701,2.79,2.35,2.35,27.9,NAN,
11.801,2.82,2.515,2.515,28.2,NAN,
11.901,2.85,2.87,2.87,28.5,NAN,
12.001,2.88,3.295,3.295,28.8,NAN,
12.101,2.91,3.59,3.59,29.1,NAN,
12.201,2.91,4.065,4.065,29.1,NAN,
12.301,2.94,4.92,4.92,29.4,NAN,
12.401,2.97,5.505,5.505,29.7,NAN,
12.501,2.985,5.95,5.95,29.85,NAN,
12.601,3.03,6.37,6.37,30.3,NAN,
12.701,3.06,6.45,6.45,30.6,NAN,
12.801,3.075,6.37,6.37,30.75,NAN,
12.901,3.105,6.245,6.245,31.05,NAN,
13.001,3.135,6.02,6.02,31.35,NAN,
13.101,3.165,5.93,5.93,31.65,NAN,
13.201,3.18,5.75,5.75,31.8,NAN,
13.301,3.195,5.565,5.565,31.95,NAN,
13.401,3.195,5.705,5.705,31.95,NAN,
13.501,3.195,5.67,5.67,31.95,NAN,
13.601,3.195,5.71,5.71,31.95,NAN,
13.701,3.195,5.7,5.7,31.95,NAN,
13.801,3.195,5.695,5.695,31.95,NAN,
13.901,3.195,5.62,5.62,31.95,NAN,
14.001,3.18,5.755,5.755,31.8,NAN,
14.101,3.18,5.72,5.72,31.8,NAN,
14.201,3.195,5.71,5.71,31.95,NAN,
14.301,3.195,5.745,5.745,31.95,NAN,
14.401,3.195,5.695,5.695,31.95,NAN,
14.501,3.18,5.77,5.77,31.8,NAN,
14.601,3.18,5.635,5.635,31.8,NAN,
14.701,3.18,5.775,5.775,31.8,NAN,
14.801,3.18,5.645,5.645,31.8,NAN,
14.901,3.195,5.66,5.66,31.95,NAN,
