Time,U_A1,U_B1,I_A,U_2,f,
0,0.255,0.11,0.11,2.55,NAN,
0.1,0.045,-0.025,-0.025,0.45,NAN,
0.2,0.135,-0.01,-0.01,1.35,NAN,
0.3,0.21,0.01,0.01,2.1,NAN,
0.4,0.21,0,0,2.1,NAN,
0.5,0.27,0.005,0.005,2.7,NAN,
0.6,0.3,0.01,0.01,3,NAN,
0.7,0.33,0.125,0.125,3.3,NAN,
0.8,0.345,0.045,0.045,3.45,NAN,
0.9,0.375,0.005,0.005,3.75,NAN,
1,0.39,0.02,0.02,3.9,NAN,
1.1,0.42,0.085,0.085,4.2,NAN,
1.2,0.435,0.1,0.1,4.35,NAN,
1.3,0.465,0.125,0.125,4.65,NAN,
1.4,0.48,0.145,0.145,4.8,NAN,
1.5,0.495,0.11,0.11,4.95,NAN,
1.6,0.525,0.12,0.12,5.25,NAN,
1.7,0.555,0.11,0.11,5.55,NAN,
1.8,0.585,0.085,0.085,5.85,NAN,
1.9,0.6,0.06,0.06,6,NAN,
2,0.63,0.095,0.095,6.3,NAN,
2.1,0.66,0.09,0.09,6.6,NAN,
2.2,0.69,0.095,0.095,6.9,NAN,
2.3,0.72,0.07,0.07,7.2,NAN,
2.4,0.75,0.08,0.08,7.5,NAN,
2.5,0.765,0.035,0.035,7.65,NAN,
2.6,0.795,0.055,0.055,7.95,NAN,
2.7,0.825,0.07,0.07,8.25,NAN,
2.8,0.855,0.095,0.095,8.55,NAN,
2.9,0.87,0.14,0.14,8.7,NAN,
3,0.9,0.34,0.34,9,NAN,
3.1,0.93,0.345,0.345,9.3,NAN,
3.2,0.945,0.415,0.415,9.45,NAN,
3.3,0.975,0.48,0.48,9.75,NAN,
3.4,1.005,0.535,0.535,10.05,NAN,
3.5,1.035,0.355,0.355,10.35,NAN,
3.6,1.05,0.345,0.345,10.5,NAN,
3.7,1.08,0.26,0.26,10.8,NAN,
3.8,1.11,0.11,0.11,11.1,NAN,
3.9,1.14,0.12,0.12,11.4,NAN,
4,1.17,0.07,0.07,11.7,NAN,
4.1,1.2,0.065,0.065,12,NAN,
4.2,1.215,0.075,0.075,12.15,NAN,
4.3,1.245,0.16,0.16,12.45,NAN,
4.4,1.26,0.1,0.1,12.6,NAN,
4.5,1.29,0.165,0.165,12.9,NAN,
4.6,1.32,0.19,0.19,13.2,NAN,
4.7,1.335,0.34,0.34,13.35,NAN,
4.8,1.35,0.37,0.37,13.5,NAN,
4.9,1.38,0.43,0.43,13.8,NAN,
5,1.395,0.445,0.445,13.95,NAN,
5.1,1.425,0.55,0.55,14.25,NAN,
5.2,1.455,0.68,0.68,14.55,NAN,
5.3,1.485,0.77,0.77,14.85,NAN,
5.4,1.5,0.875,0.875,15,NAN,
5.5,1.515,0.65,0.65,15.15,NAN,
5.6,1.545,0.52,0.52,15.45,NAN,
5.7,1.575,0.395,0.395,15.75,NAN,
5.8,1.605,0.32,0.32,16.05,NAN,
5.9,1.635,0.21,0.21,16.35,NAN,
6,1.65,0.065,0.065,16.5,NAN,
6.1,1.68,0.105,0.105,16.8,NAN,
6.2,1.71,0.105,0.105,17.1,NAN,
6.3,1.74,0.16,0.16,17.4,NAN,
6.4,1.77,0.18,0.18,17.7,NAN,
6.5,1.785,0.265,0.265,17.85,NAN,
6.6,1.815,0.48,0.48,18.15,NAN,
6.7,1.845,0.605,0.605,18.45,NAN,
6.8,1.875,0.775,0.775,18.75,NAN,
6.9,1.89,0.97,0.97,18.9,NAN,
7,1.92,1.095,1.095,19.2,NAN,
7.1,1.935,1.23,1.23,19.35,NAN,
7.2,1.965,1.275,1.275,19.65,NAN,
7.3,1.98,1.125,1.125,19.8,NAN,
7.4,2.01,0.97,0.97,20.1,NAN,
7.5,2.04,0.8,0.8,20.4,NAN,
7.6,2.055,0.345,0.345,20.55,NAN,
7.7,2.1,0.475,0.475,21,NAN,
7.8,2.13,0.35,0.35,21.3,NAN,
7.9,2.145,0.265,0.265,21.45,NAN,
8,2.175,0.285,0.285,21.75,NAN,
8.1,2.19,0.155,0.155,21.9,NAN,
8.2,2.22,0.3,0.3,22.2,NAN,
8.3,2.235,0.255,0.255,22.35,NAN,
8.4,2.265,0.37,0.37,22.65,NAN,
8.5,2.295,0.485,0.485,22.95,NAN,
8.6,2.325,0.615,0.615,23.25,NAN,
8.7,2.355,0.815,0.815,23.55,NAN,
8.8,2.37,1.06,1.06,23.7,NAN,
8.9,2.4,1.345,1.345,24,NAN,
9,2.43,1.58,1.58,24.3,NAN,
9.1,2.46,1.69,1.69,24.6,NAN,
9.2,2.49,1.595,1.595,24.9,NAN,
9.3,2.505,1.43,1.43,25.05,NAN,
9.4,2.52,1.21,1.21,25.2,NAN,
9.5,2.55,1.035,1.035,25.5,NAN,
9.6,2.58,0.7,0.7,25.8,NAN,
9.7,2.595,0.525,0.525,25.95,NAN,
9.8,2.625,0.37,0.37,26.25,NAN,
9.9,2.655,0.295,0.295,26.55,NAN,
10,2.685,0.24,0.24,26.85,NAN,
10.1,2.7,0.375,0.375,27,NAN,
10.2,2.73,0.435,0.435,27.3,NAN,
10.3,2.76,0.535,0.535,27.6,NAN,
10.4,2.79,0.655,0.655,27.9,NAN,
10.5,2.82,0.86,0.86,28.2,NAN,
10.6,2.85,1.13,1.13,28.5,NAN,
10.7,2.865,1.265,1.265,28.65,NAN,
10.8,2.895,1.565,1.565,28.95,NAN,
10.9,2.91,1.805,1.805,29.1,NAN,
11,2.94,1.955,1.955,29.4,NAN,
11.1,2.97,2.005,2.005,29.7,NAN,
11.2,2.985,2.025,2.025,29.85,NAN,
11.3,3.03,1.83,1.83,30.3,NAN,
11.4,3.045,1.54,1.54,30.45,NAN,
11.5,3.075,1.305,1.305,30.75,NAN,
11.6,3.09,1.11,1.11,30.9,NAN,
11.7,3.12,0.895,0.895,31.2,NAN,
11.8,3.135,0.795,0.795,31.35,NAN,
11.9,3.15,0.615,0.615,31.5,NAN,
12,3.15,0.56,0.56,31.5,NAN,
12.1,3.165,0.54,0.54,31.65,NAN,
12.2,3.18,0.495,0.495,31.8,NAN,
12.3,3.18,0.48,0.48,31.8,NAN,
12.4,3.18,0.59,0.59,31.8,NAN,
12.5,3.18,0.565,0.565,31.8,NAN,
12.6,3.18,0.56,0.56,31.8,NAN,
12.7,3.18,0.55,0.55,31.8,NAN,
12.807,3.18,0.53,0.53,31.8,NAN,
12.901,3.18,0.605,0.605,31.8,NAN,
13.01,3.18,0.44,0.44,31.8,NAN,
13.104,3.18,0.5,0.5,31.8,NAN,
13.213,3.18,0.395,0.395,31.8,NAN,
13.306,3.18,0.49,0.49,31.8,NAN,
13.4,3.18,0.47,0.47,31.8,NAN,
13.509,3.18,0.46,0.46,31.8,NAN,
13.603,3.18,0.57,0.57,31.8,NAN,
13.712,3.18,0.245,0.245,31.8,NAN,
13.806,3.18,0.545,0.545,31.8,NAN,
13.915,3.18,0.23,0.23,31.8,NAN,
14.008,3.18,0.485,0.485,31.8,NAN,
14.102,3.18,0.575,0.575,31.8,NAN,
14.211,3.18,0.39,0.39,31.8,NAN,
14.305,3.18,0.47,0.47,31.8,NAN,
14.414,3.18,0.36,0.36,31.8,NAN,
14.508,3.18,0.45,0.45,31.8,NAN,
14.601,3.18,0.46,0.46,31.8,NAN,
14.71,3.18,0.43,0.43,31.8,NAN,
14.804,3.18,0.54,0.54,31.8,NAN,
14.913,3.18,0.22,0.22,31.8,NAN,
