Time,U_A1,U_B1,I_A,U_2,f,
4,0.81,0.145,0.145,8.1,NAN,
4.1,0.84,0.22,0.22,8.4,NAN,
4.2,0.855,0.33,0.33,8.55,NAN,
4.3,0.885,0.48,0.48,8.85,NAN,
4.446,0.93,0.88,0.88,9.3,NAN,
4.5,0.93,0.92,0.92,9.3,NAN,
4.6,0.96,1.1,1.1,9.6,NAN,
4.7,0.99,1.25,1.25,9.9,NAN,
4.8,1.02,1.19,1.19,10.2,NAN,
4.9,1.05,0.92,0.92,10.5,NAN,
5,1.065,0.625,0.625,10.65,NAN,
5.1,1.095,0.38,0.38,10.95,NAN,
5.2,1.125,0.21,0.21,11.25,NAN,
5.3,1.155,0.095,0.095,11.55,NAN,
5.444,1.185,0.09,0.09,11.85,NAN,
5.5,1.185,0.05,0.05,11.85,NAN,
5.6,1.215,0.05,0.05,12.15,NAN,
5.7,1.245,0.085,0.085,12.45,NAN,
5.8,1.275,0.18,0.18,12.75,NAN,
5.9,1.305,0.31,0.31,13.05,NAN,
6,1.335,0.47,0.47,13.35,NAN,
6.1,1.365,0.65,0.65,13.65,NAN,
6.2,1.38,0.875,0.875,13.8,NAN,
6.3,1.41,1.145,1.145,14.1,NAN,
6.458,1.455,1.645,1.645,14.55,NAN,
6.5,1.47,1.76,1.76,14.7,NAN,
6.6,1.485,1.94,1.94,14.85,NAN,
6.7,1.515,1.9,1.9,15.15,NAN,
6.8,1.53,1.655,1.655,15.3,NAN,
6.9,1.56,1.315,1.315,15.6,NAN,
7,1.59,0.95,0.95,15.9,NAN,
7.1,1.605,0.625,0.625,16.05,NAN,
7.2,1.635,0.395,0.395,16.35,NAN,
7.3,1.665,0.26,0.26,16.65,NAN,
7.488,1.71,0.3,0.3,17.1,NAN,
7.5,1.71,0.195,0.195,17.1,NAN,
7.6,1.74,0.2,0.2,17.4,NAN,
7.7,1.77,0.285,0.285,17.7,NAN,
7.8,1.8,0.425,0.425,18,NAN,
7.9,1.83,0.61,0.61,18.3,NAN,
8,1.845,0.85,0.85,18.45,NAN,
8.1,1.86,1.135,1.135,18.6,NAN,
8.2,1.89,1.52,1.52,18.9,NAN,
8.3,1.92,1.875,1.875,19.2,NAN,
8.486,1.965,2.585,2.585,19.65,NAN,
8.5,1.965,2.52,2.52,19.65,NAN,
8.6,1.995,2.605,2.605,19.95,NAN,
8.7,2.025,2.49,2.49,20.25,NAN,
8.8,2.055,2.21,2.21,20.55,NAN,
8.9,2.085,1.83,1.83,20.85,NAN,
9,2.1,1.43,1.43,21,NAN,
9.1,2.13,1.105,1.105,21.3,NAN,
9.2,2.16,0.85,0.85,21.6,NAN,
9.3,2.19,0.7,0.7,21.9,NAN,
9.5,2.22,0.55,0.55,22.2,NAN,
9.511,2.235,0.61,0.61,22.35,NAN,
9.6,2.25,0.57,0.57,22.5,NAN,
9.7,2.28,0.66,0.66,22.8,NAN,
9.8,2.31,0.815,0.815,23.1,NAN,
9.9,2.34,1.05,1.05,23.4,NAN,
10,2.355,1.355,1.355,23.55,NAN,
10.1,2.385,1.73,1.73,23.85,NAN,
10.2,2.415,2.145,2.145,24.15,NAN,
10.3,2.445,2.575,2.575,24.45,NAN,
10.53,2.49,3.27,3.27,24.9,NAN,
10.542,2.49,3.305,3.305,24.9,NAN,
10.6,2.505,3.245,3.245,25.05,NAN,
10.7,2.535,3.165,3.165,25.35,NAN,
10.8,2.565,2.91,2.91,25.65,NAN,
10.9,2.58,2.57,2.57,25.8,NAN,
11,2.61,2.23,2.23,26.1,NAN,
11.1,2.64,1.895,1.895,26.4,NAN,
11.2,2.67,1.645,1.645,26.7,NAN,
11.3,2.7,1.47,1.47,27,NAN,
11.4,2.715,1.335,1.335,27.15,NAN,
11.544,2.76,1.315,1.315,27.6,NAN,
11.6,2.775,1.385,1.385,27.75,NAN,
11.7,2.805,1.325,1.325,28.05,NAN,
11.8,2.835,1.46,1.46,28.35,NAN,
11.9,2.835,1.735,1.735,28.35,NAN,
12,2.865,2.085,2.085,28.65,NAN,
12.1,2.895,2.47,2.47,28.95,NAN,
12.2,2.925,2.93,2.93,29.25,NAN,
12.3,2.955,3.365,3.365,29.55,NAN,
12.4,2.97,3.74,3.74,29.7,NAN,
12.542,3.015,4.115,4.115,30.15,NAN,
12.6,3.03,4.115,4.115,30.3,NAN,
12.7,3.06,4.1,4.1,30.6,NAN,
12.8,3.075,3.955,3.955,30.75,NAN,
12.9,3.105,3.625,3.625,31.05,NAN,
13,3.135,3.48,3.48,31.35,NAN,
13.1,3.165,3.25,3.25,31.65,NAN,
13.2,3.18,3.005,3.005,31.8,NAN,
13.3,3.195,3.01,3.01,31.95,NAN,
13.4,3.195,3.015,3.015,31.95,NAN,
13.556,3.195,2.94,2.94,31.95,NAN,
13.6,3.195,3.01,3.01,31.95,NAN,
13.7,3.195,3.01,3.01,31.95,NAN,
13.8,3.195,3.01,3.01,31.95,NAN,
13.9,3.195,3.015,3.015,31.95,NAN,
14,3.195,3.01,3.01,31.95,NAN,
14.1,3.195,3.015,3.015,31.95,NAN,
14.2,3.195,2.995,2.995,31.95,NAN,
14.3,3.195,3.02,3.02,31.95,NAN,
14.4,3.195,3.01,3.01,31.95,NAN,
14.57,3.195,2.95,2.95,31.95,NAN,
14.6,3.195,2.995,2.995,31.95,NAN,
14.7,3.195,3.02,3.02,31.95,NAN,
14.8,3.195,2.99,2.99,31.95,NAN,
14.9,3.195,3.01,3.01,31.95,NAN,
15,3.195,3.01,3.01,31.95,NAN,
