Time,U_A1,U_B1,I_A,U_2,f,
0,0.15,0.47,0.47,1.5,NAN,
0.1,0.075,-0.03,-0.03,0.75,NAN,
0.2,0.12,-0.03,-0.03,1.2,NAN,
0.374,0.165,0.015,0.015,1.65,NAN,
0.4,0.165,0,0,1.65,NAN,
0.5,0.12,-0.03,-0.03,1.2,NAN,
0.6,0.12,0.075,0.075,1.2,NAN,
0.7,0,-0.015,-0.015,0,NAN,
0.8,0,0.865,0.865,0,NAN,
0.9,0,0.005,0.005,0,NAN,
1,0.09,-0.04,-0.04,0.9,NAN,
1.1,0.135,0.21,0.21,1.35,NAN,
1.2,0.09,-0.01,-0.01,0.9,NAN,
1.388,0.18,-0.04,-0.04,1.8,NAN,
1.402,0.225,-0.025,-0.025,2.25,NAN,
1.5,0.18,-0.035,-0.035,1.8,NAN,
1.6,0.315,0.04,0.04,3.15,NAN,
1.7,0.36,0.05,0.05,3.6,NAN,
1.8,0.375,0.22,0.22,3.75,NAN,
1.9,0.345,0.01,0.01,3.45,NAN,
2,0.36,0.105,0.105,3.6,NAN,
2.1,0.39,0.04,0.04,3.9,NAN,
2.2,0.465,0.255,0.255,4.65,NAN,
2.402,0.51,0.225,0.225,5.1,NAN,
2.415,0.51,0.14,0.14,5.1,NAN,
2.5,0.54,0.5,0.5,5.4,NAN,
2.6,0.525,0.52,0.52,5.25,NAN,
2.7,0.585,0.215,0.215,5.85,NAN,
2.8,0.6,0.27,0.27,6,NAN,
2.9,0.54,0.475,0.475,5.4,NAN,
3,0.54,0.39,0.39,5.4,NAN,
3.1,0.57,0.255,0.255,5.7,NAN,
3.2,0.6,0.12,0.12,6,NAN,
3.416,0.66,0.03,0.03,6.6,NAN,
3.43,0.66,0.075,0.075,6.6,NAN,
3.5,0.675,0.015,0.015,6.75,NAN,
3.6,0.705,0.015,0.015,7.05,NAN,
3.7,0.735,0.025,0.025,7.35,NAN,
3.8,0.765,0.035,0.035,7.65,NAN,
3.9,0.795,0.055,0.055,7.95,NAN,
