Time,U_A1,U_B1,I_A,U_2,f,
0,0.12,0.01,0.01,1.2,NAN,
0.1,0.06,0,0,0.6,NAN,
0.2,0.03,-0.04,-0.04,0.3,NAN,
0.3,0.075,-0.03,-0.03,0.75,NAN,
0.4,0.045,0.055,0.055,0.45,NAN,
0.5,0,0.635,0.635,0,NAN,
0.6,0,0.005,0.005,0,NAN,
0.7,0.21,0.005,0.005,2.1,NAN,
0.8,0.195,-0.01,-0.01,1.95,NAN,
0.9,0.195,-0.02,-0.02,1.95,NAN,
1,0.195,-0.005,-0.005,1.95,NAN,
1.1,0.225,-0.03,-0.03,2.25,NAN,
1.2,0.255,-0.02,-0.02,2.55,NAN,
1.3,0.255,-0.025,-0.025,2.55,NAN,
1.4,0.285,0,0,2.85,NAN,
1.5,0.3,-0.005,-0.005,3,NAN,
1.6,0.33,0.02,0.02,3.3,NAN,
1.7,0.345,0.045,0.045,3.45,NAN,
1.8,0.375,0.125,0.125,3.75,NAN,
1.9,0.39,0.09,0.09,3.9,NAN,
2,0.405,0.135,0.135,4.05,NAN,
2.1,0.435,0.205,0.205,4.35,NAN,
2.2,0.465,0.225,0.225,4.65,NAN,
2.3,0.48,0.325,0.325,4.8,NAN,
2.4,0.51,0.435,0.435,5.1,NAN,
2.5,0.54,0.57,0.57,5.4,NAN,
2.6,0.555,0.57,0.57,5.55,NAN,
2.7,0.585,0.255,0.255,5.85,NAN,
2.8,0.615,0.105,0.105,6.15,NAN,
2.9,0.645,0.005,0.005,6.45,NAN,
3,0.645,-0.025,-0.025,6.45,NAN,
3.1,0.675,-0.02,-0.02,6.75,NAN,
3.2,0.705,0.005,0.005,7.05,NAN,
3.3,0.735,0,0,7.35,NAN,
3.4,0.765,0.005,0.005,7.65,NAN,
3.5,0.78,0.025,0.025,7.8,NAN,
3.6,0.81,0.015,0.015,8.1,NAN,
3.7,0.84,0.15,0.15,8.4,NAN,
3.8,0.87,0.245,0.245,8.7,NAN,
3.9,0.885,0.295,0.295,8.85,NAN,
4,0.915,0.61,0.61,9.15,NAN,
4.1,0.945,0.8,0.8,9.45,NAN,
4.2,0.975,1.015,1.015,9.75,NAN,
4.3,0.99,1.22,1.22,9.9,NAN,
4.4,1.005,1.365,1.365,10.05,NAN,
4.5,1.035,1.14,1.14,10.35,NAN,
4.6,1.065,0.865,0.865,10.65,NAN,
4.7,1.095,0.415,0.415,10.95,NAN,
4.8,1.11,0.235,0.235,11.1,NAN,
4.9,1.14,0.075,0.075,11.4,NAN,
5,1.17,0.015,0.015,11.7,NAN,
5.1,1.2,0,0,12,NAN,
5.2,1.23,-0.015,-0.015,12.3,NAN,
5.3,1.245,-0.005,-0.005,12.45,NAN,
5.4,1.275,0.015,0.015,12.75,NAN,
5.5,1.305,0.125,0.125,13.05,NAN,
5.6,1.335,0.22,0.22,13.35,NAN,
5.7,1.35,0.415,0.415,13.5,NAN,
5.8,1.365,0.785,0.785,13.65,NAN,
5.9,1.395,0.82,0.82,13.95,NAN,
6,1.425,1.185,1.185,14.25,NAN,
6.1,1.455,1.47,1.47,14.55,NAN,
6.2,1.47,1.68,1.68,14.7,NAN,
6.3,1.5,1.81,1.81,15,NAN,
6.4,1.53,1.785,1.785,15.3,NAN,
6.5,1.56,1.48,1.48,15.6,NAN,
6.6,1.59,1.16,1.16,15.9,NAN,
6.7,1.605,0.785,0.785,16.05,NAN,
6.8,1.635,0.47,0.47,16.35,NAN,
6.9,1.665,0.295,0.295,16.65,NAN,
7,1.68,0.18,0.18,16.8,NAN,
7.1,1.71,0.09,0.09,17.1,NAN,
7.2,1.725,0.1,0.1,17.25,NAN,
7.3,1.755,0.095,0.095,17.55,NAN,
7.4,1.785,0.18,0.18,17.85,NAN,
7.5,1.815,0.34,0.34,18.15,NAN,
7.6,1.845,0.51,0.51,18.45,NAN,
7.7,1.86,0.825,0.825,18.6,NAN,
7.8,1.89,1.06,1.06,18.9,NAN,
7.9,1.92,1.605,1.605,19.2,NAN,
8,1.95,1.735,1.735,19.5,NAN,
8.1,1.965,2.105,2.105,19.65,NAN,
8.2,1.995,2.32,2.32,19.95,NAN,
8.3,2.01,2.36,2.36,20.1,NAN,
8.4,2.04,2.315,2.315,20.4,NAN,
8.5,2.07,2.075,2.075,20.7,NAN,
8.6,2.085,1.725,1.725,20.85,NAN,
8.7,2.115,1.335,1.335,21.15,NAN,
8.8,2.145,1.08,1.08,21.45,NAN,
