Time,U_A1,U_B1,I_A,U_2,f,
8.9,2.175,0.83,0.83,21.75,NAN,
9,2.205,0.71,0.71,22.05,NAN,
9.1,2.22,0.555,0.555,22.2,NAN,
9.2,2.25,0.57,0.57,22.5,NAN,
9.3,2.28,0.55,0.55,22.8,NAN,
9.4,2.31,0.61,0.61,23.1,NAN,
9.5,2.325,0.96,0.96,23.25,NAN,
9.6,2.34,0.985,0.985,23.4,NAN,
9.7,2.37,1.28,1.28,23.7,NAN,
9.8,2.4,1.585,1.585,24,NAN,
9.9,2.43,1.995,1.995,24.3,NAN,
10,2.445,2.335,2.335,24.45,NAN,
10.1,2.475,2.655,2.655,24.75,NAN,
10.2,2.505,2.92,2.92,25.05,NAN,
10.3,2.535,2.985,2.985,25.35,NAN,
10.4,2.565,2.96,2.96,25.65,NAN,
10.5,2.58,2.795,2.795,25.8,NAN,
10.6,2.61,2.49,2.49,26.1,NAN,
10.7,2.64,2.24,2.24,26.4,NAN,
10.8,2.67,2.11,2.11,26.7,NAN,
10.9,2.685,1.84,1.84,26.85,NAN,
11,2.7,1.695,1.695,27,NAN,
11.1,2.73,1.57,1.57,27.3,NAN,
11.2,2.76,1.475,1.475,27.6,NAN,
11.3,2.79,1.48,1.48,27.9,NAN,
11.4,2.82,1.765,1.765,28.2,NAN,
11.5,2.835,1.665,1.665,28.35,NAN,
11.6,2.865,1.88,1.88,28.65,NAN,
11.7,2.895,2.155,2.155,28.95,NAN,
11.8,2.925,2.49,2.49,29.25,NAN,
11.9,2.94,2.8,2.8,29.4,NAN,
12,2.97,3.16,3.16,29.7,NAN,
12.1,2.985,3.505,3.505,29.85,NAN,
12.2,3.015,3.75,3.75,30.15,NAN,
12.3,3.045,3.89,3.89,30.45,NAN,
12.4,3.06,3.92,3.92,30.6,NAN,
12.5,3.09,3.875,3.875,30.9,NAN,
12.6,3.12,3.74,3.74,31.2,NAN,
12.7,3.15,3.645,3.645,31.5,NAN,
12.8,3.18,3.515,3.515,31.8,NAN,
12.9,3.195,3.47,3.47,31.95,NAN,
13,3.195,3.475,3.475,31.95,NAN,
13.1,3.195,3.47,3.47,31.95,NAN,
13.2,3.195,3.47,3.47,31.95,NAN,
13.3,3.195,3.48,3.48,31.95,NAN,
13.4,3.195,3.465,3.465,31.95,NAN,
13.5,3.195,3.48,3.48,31.95,NAN,
13.6,3.195,3.47,3.47,31.95,NAN,
13.7,3.195,3.475,3.475,31.95,NAN,
13.8,3.195,3.465,3.465,31.95,NAN,
13.9,3.195,3.47,3.47,31.95,NAN,
14,3.195,3.47,3.47,31.95,NAN,
14.1,3.195,3.47,3.47,31.95,NAN,
14.2,3.195,3.46,3.46,31.95,NAN,
14.3,3.195,3.465,3.465,31.95,NAN,
14.4,3.195,3.475,3.475,31.95,NAN,
14.5,3.195,3.49,3.49,31.95,NAN,
14.6,3.195,3.495,3.495,31.95,NAN,
14.7,3.195,3.49,3.49,31.95,NAN,
14.8,3.195,3.495,3.495,31.95,NAN,
14.9,3.195,3.48,3.48,31.95,NAN,
15,3.195,3.46,3.46,31.95,NAN,
